date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
2015-01-03,Quarter1,sewing,Saturday,Team3,0.8,28.08,913.0,6540.0,50.0,0.0,0.0,0.0,54.5,0.800322936
2015-01-03,Quarter1,sewing,Saturday,Team8,0.8,26.16,1261.0,7080.0,50.0,0.0,0.0,0.0,59.0,0.800318644
2015-01-03,Quarter1,sewing,Saturday,Team12,0.8,26.16,844.0,7080.0,63.0,0.0,0.0,0.0,59.0,0.800318644
2015-01-03,Quarter1,sewing,Saturday,Team11,0.8,11.61,1005.0,7080.0,50.0,0.0,0.0,0.0,29.5,0.800237288
2015-01-03,Quarter1,sewing,Saturday,Team5,0.8,11.61,659.0,7080.0,50.0,0.0,0.0,0.0,31.5,0.800148649
2015-01-03,Quarter1,sewing,Saturday,Team6,0.8,25.9,1152.0,6720.0,50.0,0.0,0.0,0.0,56.0,0.800125
2015-01-03,Quarter1,sewing,Saturday,Team7,0.8,25.9,1138.0,6720.0,38.0,0.0,0.0,0.0,56.0,0.800125
2015-01-03,Quarter1,sewing,Saturday,Team10,0.75,19.31,610.0,6480.0,56.0,0.0,0.0,0.0,54.0,0.787299691
2015-01-03,Quarter1,finishing,Saturday,Team2,0.8,4.15,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.782447917
2015-01-03,Quarter1,sewing,Saturday,Team2,0.75,19.87,944.0,6600.0,45.0,0.0,0.0,0.0,55.0,0.75024303
2015-01-03,Quarter1,finishing,Saturday,Team10,0.7,4.15,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.7018125
2015-01-03,Quarter1,sewing,Saturday,Team4,0.7,23.69,544.0,13800.0,0.0,0.0,0.0,0.0,60.0,0.700134038
2015-01-03,Quarter1,sewing,Saturday,Team9,0.7,28.08,1072.0,6900.0,40.0,0.0,0.0,0.0,57.5,0.699965217
2015-01-03,Quarter1,finishing,Saturday,Team8,0.8,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.628333333
2015-01-03,Quarter1,finishing,Saturday,Team7,0.8,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.6253125
2015-01-04,Quarter1,finishing,Sunday,Team3,0.75,4.15,962.2,1560.0,0.0,0.0,0.0,0.0,8.0,0.991388889
2015-01-04,Quarter1,finishing,Sunday,Team9,0.8,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.931645833
2015-01-04,Quarter1,finishing,Sunday,Team1,0.8,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.915229167
2015-01-04,Quarter1,sewing,Sunday,Team6,0.8,11.61,539.0,6975.0,50.0,0.0,0.0,0.0,31.0,0.879714482
2015-01-04,Quarter1,finishing,Sunday,Team4,0.8,3.94,1116.0,6600.0,0.0,0.0,0.0,0.0,20.0,0.861679012
2015-01-04,Quarter1,sewing,Sunday,Team9,0.8,26.16,1278.0,7080.0,60.0,0.0,0.0,0.0,59.0,0.850569492
2015-01-04,Quarter1,sewing,Sunday,Team7,0.8,25.9,1227.0,7020.0,60.0,0.0,0.0,0.0,56.5,0.850436438
2015-01-04,Quarter1,sewing,Sunday,Team8,0.8,25.9,1039.0,6780.0,45.0,0.0,0.0,0.0,56.5,0.850345133
2015-01-04,Quarter1,sewing,Sunday,Team4,0.8,28.08,878.0,4260.0,50.0,0.0,0.0,0.0,55.5,0.800598058
2015-01-04,Quarter1,sewing,Sunday,Team1,0.8,26.16,1033.0,7080.0,63.0,0.0,0.0,0.0,59.0,0.800318644
2015-01-04,Quarter1,sewing,Sunday,Team2,0.8,28.08,782.0,6660.0,50.0,0.0,0.0,0.0,55.5,0.800237838
2015-01-04,Quarter1,sewing,Sunday,Team12,0.8,11.61,1216.0,6975.0,50.0,0.0,0.0,0.0,31.0,0.800030199
2015-01-04,Quarter1,finishing,Sunday,Team2,0.8,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.792104167
2015-01-04,Quarter1,finishing,Sunday,Team10,0.7,3.94,1043.8,4320.0,0.0,0.0,0.0,0.0,18.0,0.759228395
2015-01-04,Quarter1,sewing,Sunday,Team11,0.75,19.31,513.0,6480.0,45.0,0.0,0.0,0.0,54.0,0.750348457
2015-01-04,Quarter1,sewing,Sunday,Team3,0.75,19.87,734.0,6600.0,45.0,0.0,0.0,0.0,55.0,0.75024303
2015-01-04,Quarter1,sewing,Sunday,Team10,0.7,28.08,1202.0,6900.0,40.0,0.0,0.0,0.0,57.5,0.699965217
2015-01-04,Quarter1,finishing,Sunday,Team8,0.8,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.682708333
2015-01-04,Quarter1,finishing,Sunday,Team7,0.8,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.667604167
2015-01-04,Quarter1,sewing,Sunday,Team5,0.7,45.67,884.0,6960.0,26.0,0.0,0.0,0.0,58.0,0.603432184
2015-01-04,Quarter1,finishing,Sunday,Team11,0.75,4.15,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.345833333
2015-01-05,Quarter1,finishing,Monday,Team1,0.8,3.94,752.2,1920.0,0.0,0.0,0.0,0.0,8.0,0.961059028
2015-01-05,Quarter1,finishing,Monday,Team11,0.8,3.94,998.4,2400.0,0.0,0.0,0.0,0.0,10.0,0.939513889
2015-01-05,Quarter1,finishing,Monday,Team4,0.8,3.94,465.8,3840.0,0.0,0.0,0.0,0.0,16.0,0.893663194
2015-01-05,Quarter1,finishing,Monday,Team3,0.75,4.15,752.2,1920.0,0.0,0.0,0.0,0.0,8.0,0.875390625
2015-01-05,Quarter1,sewing,Monday,Team9,0.8,26.16,1227.0,7080.0,75.0,0.0,0.0,0.0,59.0,0.850569492
2015-01-05,Quarter1,finishing,Monday,Team9,0.8,2.9,752.2,1920.0,0.0,0.0,0.0,0.0,8.0,0.820833333
2015-01-05,Quarter1,finishing,Monday,Team2,0.8,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.804416667
2015-01-05,Quarter1,sewing,Monday,Team7,0.8,25.9,1255.0,6780.0,50.0,0.0,0.0,0.0,56.5,0.800684366
2015-01-05,Quarter1,sewing,Monday,Team8,0.8,25.9,1047.0,6780.0,38.0,0.0,0.0,0.0,56.5,0.800684366
2015-01-05,Quarter1,sewing,Monday,Team1,0.8,26.16,1138.0,7080.0,63.0,0.0,0.0,0.0,59.0,0.800318644
2015-01-05,Quarter1,sewing,Monday,Team11,0.8,19.31,678.0,4800.0,50.0,0.0,0.0,0.0,55.0,0.800250962
2015-01-05,Quarter1,sewing,Monday,Team6,0.8,11.61,712.0,7200.0,50.0,0.0,0.0,0.0,32.0,0.800246011
2015-01-05,Quarter1,sewing,Monday,Team12,0.8,11.61,1037.0,7200.0,50.0,0.0,0.0,0.0,32.0,0.800246011
2015-01-05,Quarter1,sewing,Monday,Team2,0.8,28.08,757.0,6900.0,50.0,0.0,0.0,0.0,57.5,0.800076522
2015-01-05,Quarter1,sewing,Monday,Team4,0.8,28.08,759.0,6900.0,50.0,0.0,0.0,0.0,57.5,0.800076522
2015-01-05,Quarter1,finishing,Monday,Team10,0.75,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.763375
2015-01-05,Quarter1,finishing,Monday,Team5,0.6,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.759270833
2015-01-05,Quarter1,sewing,Monday,Team10,0.75,28.08,1083.0,7020.0,45.0,0.0,0.0,0.0,58.5,0.7504
2015-01-05,Quarter1,sewing,Monday,Team3,0.75,19.87,944.0,6600.0,45.0,0.0,0.0,0.0,55.0,0.75024303
2015-01-05,Quarter1,finishing,Monday,Team7,0.8,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.676666667
2015-01-05,Quarter1,finishing,Monday,Team8,0.8,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.664583333
2015-01-05,Quarter1,sewing,Monday,Team5,0.6,21.98,666.0,6960.0,23.0,0.0,0.0,0.0,58.0,0.600028736
2015-01-06,Quarter1,finishing,Tuesday,Team4,0.8,3.94,1004.4,4440.0,0.0,0.0,0.0,0.0,18.0,0.966781346
2015-01-06,Quarter1,finishing,Tuesday,Team1,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.936496212
2015-01-06,Quarter1,finishing,Tuesday,Team3,0.75,4.15,632.8,1800.0,0.0,0.0,0.0,0.0,10.0,0.899166667
2015-01-06,Quarter1,finishing,Tuesday,Team11,0.8,4.15,911.6,2700.0,0.0,0.0,0.0,0.0,15.0,0.888686869
2015-01-06,Quarter1,finishing,Tuesday,Team9,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.858143939
2015-01-06,Quarter1,sewing,Tuesday,Team1,0.8,26.16,1187.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.850502311
2015-01-06,Quarter1,sewing,Tuesday,Team9,0.8,26.16,1305.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.850502311
2015-01-06,Quarter1,finishing,Tuesday,Team10,0.75,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.809640152
2015-01-06,Quarter1,finishing,Tuesday,Team2,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.805909091
2015-01-06,Quarter1,sewing,Tuesday,Team2,0.8,28.08,716.0,10350.0,50.0,0.0,0.0,0.0,57.5,0.800594466
2015-01-06,Quarter1,sewing,Tuesday,Team4,0.8,28.08,925.0,10350.0,50.0,0.0,0.0,0.0,57.5,0.800594466
2015-01-06,Quarter1,sewing,Tuesday,Team3,0.8,19.87,963.0,9900.0,50.0,0.0,0.0,0.0,55.0,0.800273829
2015-01-06,Quarter1,sewing,Tuesday,Team12,0.8,11.61,1101.0,5310.0,50.0,0.0,0.0,0.0,31.5,0.800140969
2015-01-06,Quarter1,sewing,Tuesday,Team7,0.8,25.9,1035.0,10170.0,38.0,0.0,0.0,0.0,56.5,0.800128721
2015-01-06,Quarter1,sewing,Tuesday,Team8,0.8,25.9,1083.0,10170.0,38.0,0.0,0.0,0.0,56.5,0.800128721
2015-01-06,Quarter1,sewing,Tuesday,Team6,0.8,11.61,910.0,4470.0,38.0,0.0,0.0,0.0,31.5,0.80007657
2015-01-06,Quarter1,sewing,Tuesday,Team10,0.75,28.08,1209.0,10530.0,45.0,0.0,0.0,0.0,58.5,0.750545455
2015-01-06,Quarter1,sewing,Tuesday,Team11,0.75,19.31,590.0,9900.0,45.0,0.0,0.0,0.0,55.0,0.750057851
2015-01-06,Quarter1,finishing,Tuesday,Team8,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.681060606
2015-01-06,Quarter1,sewing,Tuesday,Team5,0.65,21.98,808.0,10440.0,35.0,0.0,0.0,0.0,58.0,0.649983281
2015-01-06,Quarter1,finishing,Tuesday,Team7,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.61625
2015-01-07,Quarter1,finishing,Wednesday,Team1,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.951420455
2015-01-07,Quarter1,finishing,Wednesday,Team9,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.880530303
2015-01-07,Quarter1,sewing,Wednesday,Team1,0.8,26.16,1179.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.850502311
2015-01-07,Quarter1,sewing,Wednesday,Team9,0.8,26.16,1324.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.850502311
2015-01-07,Quarter1,sewing,Wednesday,Team8,0.8,25.9,1135.0,10170.0,60.0,0.0,0.0,0.0,56.5,0.850136766
2015-01-07,Quarter1,finishing,Wednesday,Team3,0.75,4.15,911.6,2700.0,0.0,0.0,0.0,0.0,15.0,0.83
2015-01-07,Quarter1,finishing,Wednesday,Team4,0.8,3.94,1004.4,4440.0,0.0,0.0,0.0,0.0,18.0,0.827186544
2015-01-07,Quarter1,finishing,Wednesday,Team2,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.813371212
2015-01-07,Quarter1,finishing,Wednesday,Team10,0.75,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.805909091
2015-01-07,Quarter1,finishing,Wednesday,Team7,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.804640152
2015-01-07,Quarter1,sewing,Wednesday,Team2,0.8,28.08,776.0,10350.0,63.0,0.0,0.0,0.0,57.5,0.800594466
2015-01-07,Quarter1,sewing,Wednesday,Team4,0.8,28.08,990.0,10350.0,50.0,0.0,0.0,0.0,57.5,0.800594466
2015-01-07,Quarter1,sewing,Wednesday,Team6,0.8,11.41,986.0,5490.0,50.0,0.0,0.0,0.0,30.5,0.800343766
2015-01-07,Quarter1,sewing,Wednesday,Team3,0.8,19.87,924.0,9900.0,50.0,0.0,0.0,0.0,55.0,0.800273829
2015-01-07,Quarter1,sewing,Wednesday,Team12,0.8,11.61,1120.0,5670.0,50.0,0.0,0.0,0.0,31.5,0.800246753
2015-01-07,Quarter1,sewing,Wednesday,Team7,0.8,25.9,1066.0,10170.0,50.0,0.0,0.0,0.0,56.5,0.800128721
2015-01-07,Quarter1,sewing,Wednesday,Team10,0.75,28.08,1144.0,10530.0,69.0,0.0,0.0,0.0,58.5,0.8
2015-01-07,Quarter1,sewing,Wednesday,Team5,0.7,21.98,413.0,9720.0,40.0,0.0,0.0,0.0,58.0,0.700480831
2015-01-07,Quarter1,finishing,Wednesday,Team8,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.681060606
2015-01-07,Quarter1,finishing,Wednesday,Team6,0.8,2.9,632.8,1800.0,0.0,0.0,0.0,0.0,10.0,0.666515152
2015-01-07,Quarter1,sewing,Wednesday,Team11,0.8,31.83,568.0,9900.0,40.0,0.0,0.0,0.0,55.0,0.412119835
2015-01-07,Quarter1,finishing,Wednesday,Team5,0.7,4.15,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.330113636
2015-01-08,Quarter2,finishing,Thursday,Team1,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.947689394
2015-01-08,Quarter2,finishing,Thursday,Team4,0.8,3.94,1122.8,12600.0,0.0,0.0,0.0,0.0,20.0,0.919905405
2015-01-08,Quarter2,sewing,Thursday,Team9,0.8,26.16,1216.0,10620.0,88.0,0.0,0.0,0.0,59.0,0.900215716
2015-01-08,Quarter2,finishing,Thursday,Team9,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.891723485
2015-01-08,Quarter2,sewing,Thursday,Team1,0.8,26.16,1189.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.850502311
2015-01-08,Quarter2,sewing,Thursday,Team4,0.8,28.08,942.0,10530.0,75.0,0.0,0.0,0.0,58.5,0.850181818
2015-01-08,Quarter2,sewing,Thursday,Team7,0.8,25.9,1050.0,10170.0,60.0,0.0,0.0,0.0,56.5,0.850136766
2015-01-08,Quarter2,sewing,Thursday,Team8,0.8,25.9,1026.0,10170.0,60.0,0.0,0.0,0.0,56.5,0.850136766
2015-01-08,Quarter2,finishing,Thursday,Team2,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.835757576
2015-01-08,Quarter2,finishing,Thursday,Team5,0.7,4.15,465.8,3840.0,0.0,0.0,0.0,0.0,8.0,0.821354167
2015-01-08,Quarter2,sewing,Thursday,Team2,0.8,28.08,783.0,10050.0,63.0,0.0,0.0,0.0,58.5,0.800497246
2015-01-08,Quarter2,sewing,Thursday,Team3,0.8,19.87,857.0,9900.0,50.0,0.0,0.0,0.0,55.0,0.800273829
2015-01-08,Quarter2,sewing,Thursday,Team12,0.8,11.61,548.0,15120.0,63.0,0.0,0.0,0.0,31.5,0.800107143
2015-01-08,Quarter2,sewing,Thursday,Team6,0.8,11.41,411.0,14640.0,50.0,0.0,0.0,0.0,30.5,0.800024932
2015-01-08,Quarter2,sewing,Thursday,Team10,0.75,28.08,1066.0,10530.0,69.0,0.0,0.0,0.0,58.5,0.8
2015-01-08,Quarter2,finishing,Thursday,Team10,0.75,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.779791667
2015-01-08,Quarter2,finishing,Thursday,Team8,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.735984848
2015-01-08,Quarter2,finishing,Thursday,Team3,0.75,4.15,987.6,2160.0,0.0,0.0,0.0,0.0,12.0,0.712626263
2015-01-08,Quarter2,finishing,Thursday,Team7,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.681060606
2015-01-08,Quarter2,finishing,Thursday,Team11,0.8,4.15,994.4,900.0,0.0,0.0,0.0,0.0,5.0,0.515606061
2015-01-08,Quarter2,sewing,Thursday,Team11,0.35,12.52,287.0,25920.0,38.0,0.0,0.0,0.0,54.0,0.349951389
2015-01-08,Quarter2,sewing,Thursday,Team5,0.7,42.41,724.0,10260.0,0.0,0.0,0.0,0.0,57.0,0.233705476
2015-01-10,Quarter2,finishing,Saturday,Team1,0.8,3.94,987.6,2160.0,0.0,0.0,0.0,0.0,8.0,0.985
2015-01-10,Quarter2,finishing,Saturday,Team3,0.75,4.15,961.0,2760.0,0.0,0.0,0.0,0.0,12.0,0.930340376
2015-01-10,Quarter2,finishing,Saturday,Team4,0.8,3.94,1169.8,6000.0,0.0,0.0,0.0,0.0,20.0,0.911589744
2015-01-10,Quarter2,finishing,Saturday,Team9,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.858143939
2015-01-10,Quarter2,sewing,Saturday,Team9,0.8,26.16,1122.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.851174114
2015-01-10,Quarter2,sewing,Saturday,Team7,0.8,25.9,970.0,10170.0,60.0,0.0,0.0,0.0,56.5,0.850136766
2015-01-10,Quarter2,sewing,Saturday,Team8,0.8,25.9,1158.0,10170.0,60.0,0.0,0.0,0.0,56.5,0.850136766
2015-01-10,Quarter2,finishing,Saturday,Team10,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.846950758
2015-01-10,Quarter2,finishing,Saturday,Team11,0.8,4.15,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.817424242
2015-01-10,Quarter2,finishing,Saturday,Team2,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.817102273
2015-01-10,Quarter2,sewing,Saturday,Team4,0.8,28.08,660.0,10440.0,63.0,0.0,0.0,0.0,58.0,0.801028213
2015-01-10,Quarter2,sewing,Saturday,Team2,0.8,28.08,749.0,10350.0,63.0,0.0,0.0,0.0,57.5,0.800594466
2015-01-10,Quarter2,sewing,Saturday,Team12,0.8,11.61,893.0,4710.0,50.0,0.0,0.0,0.0,31.5,0.800346445
2015-01-10,Quarter2,sewing,Saturday,Team6,0.8,11.41,887.0,5490.0,50.0,0.0,0.0,0.0,30.5,0.800343766
2015-01-10,Quarter2,sewing,Saturday,Team1,0.8,26.16,1335.0,10620.0,63.0,0.0,0.0,0.0,59.0,0.800117103
2015-01-10,Quarter2,sewing,Saturday,Team10,0.8,28.08,1082.0,10530.0,63.0,0.0,0.0,0.0,58.5,0.8
2015-01-10,Quarter2,sewing,Saturday,Team3,0.75,19.87,1075.0,7080.0,45.0,0.0,0.0,0.0,56.0,0.750098351
2015-01-10,Quarter2,sewing,Saturday,Team11,0.5,12.52,749.0,9540.0,38.0,0.0,0.0,0.0,53.0,0.673245283
2015-01-10,Quarter2,finishing,Saturday,Team7,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.670075758
2015-01-10,Quarter2,finishing,Saturday,Team8,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.628882576
2015-01-10,Quarter2,sewing,Saturday,Team5,0.5,20.79,966.0,7680.0,0.0,0.0,0.0,0.0,56.0,0.388007813
2015-01-10,Quarter2,finishing,Saturday,Team5,0.5,4.15,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.337973485
2015-01-11,Quarter2,finishing,Sunday,Team3,0.75,4.15,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.93532197
2015-01-11,Quarter2,finishing,Sunday,Team4,0.8,3.94,3509.8,3600.0,0.0,0.0,0.0,0.0,20.0,0.925643939
2015-01-11,Quarter2,sewing,Sunday,Team9,0.8,26.16,1095.0,10620.0,88.0,0.0,0.0,0.0,59.0,0.900215716
2015-01-11,Quarter2,finishing,Sunday,Team1,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.873068182
2015-01-11,Quarter2,finishing,Sunday,Team9,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.858143939
2015-01-11,Quarter2,sewing,Sunday,Team1,0.8,26.16,1383.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.850502311
2015-01-11,Quarter2,sewing,Sunday,Team7,0.8,25.9,1012.0,10170.0,45.0,0.0,0.0,0.0,56.5,0.850136766
2015-01-11,Quarter2,sewing,Sunday,Team8,0.8,25.9,1209.0,10170.0,60.0,0.0,0.0,0.0,56.5,0.850136766
2015-01-11,Quarter2,finishing,Sunday,Team10,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.828295455
2015-01-11,Quarter2,finishing,Sunday,Team2,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.820833333
2015-01-11,Quarter2,sewing,Sunday,Team6,0.8,11.41,887.0,5490.0,50.0,0.0,0.0,0.0,30.5,0.800343766
2015-01-11,Quarter2,sewing,Sunday,Team12,0.8,11.61,896.0,5670.0,50.0,0.0,0.0,0.0,31.5,0.800246753
2015-01-11,Quarter2,sewing,Sunday,Team2,0.8,28.08,805.0,10530.0,63.0,0.0,0.0,0.0,58.5,0.8
2015-01-11,Quarter2,sewing,Sunday,Team10,0.8,28.08,762.0,10530.0,38.0,0.0,0.0,0.0,58.5,0.8
2015-01-11,Quarter2,sewing,Sunday,Team3,0.8,19.87,1043.0,6420.0,0.0,0.0,0.0,0.0,55.0,0.690182815
2015-01-11,Quarter2,finishing,Sunday,Team11,0.8,4.15,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.668087121
2015-01-11,Quarter2,finishing,Sunday,Team8,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.653598485
2015-01-11,Quarter2,finishing,Sunday,Team5,0.5,4.15,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.609138258
2015-01-11,Quarter2,sewing,Sunday,Team11,0.6,12.52,831.0,9540.0,30.0,0.0,0.0,0.0,53.0,0.600229846
2015-01-11,Quarter2,finishing,Sunday,Team6,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.597348485
2015-01-11,Quarter2,finishing,Sunday,Team7,0.8,2.9,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.590435606
2015-01-11,Quarter2,sewing,Sunday,Team4,0.8,50.48,562.0,10440.0,0.0,0.0,0.0,0.0,58.0,0.473134796
2015-01-11,Quarter2,sewing,Sunday,Team5,0.6,20.79,1208.0,7980.0,0.0,0.0,0.0,0.0,57.0,0.452979626
2015-01-12,Quarter2,finishing,Monday,Team1,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.955151515
2015-01-12,Quarter2,finishing,Monday,Team4,0.35,4.3,668.8,3240.0,0.0,0.0,0.0,0.0,18.0,0.942213805
2015-01-12,Quarter2,finishing,Monday,Team3,0.8,4.15,632.8,1800.0,0.0,0.0,0.0,0.0,10.0,0.905454545
2015-01-12,Quarter2,finishing,Monday,Team2,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.880530303
2015-01-12,Quarter2,finishing,Monday,Team9,0.8,3.94,829.2,1440.0,0.0,0.0,0.0,0.0,8.0,0.858143939
2015-01-12,Quarter2,sewing,Monday,Team1,0.8,26.16,1099.0,8220.0,75.0,0.0,0.0,0.0,59.0,0.850522167
2015-01-12,Quarter2,sewing,Monday,Team9,0.8,26.16,1093.0,10620.0,75.0,0.0,0.0,0.0,59.0,0.850502311
